x,y,cluster,preview,full
5.280373,-3.0143785,Cluster 2,這家拉麵店的湯頭濃郁鮮甜，每次來都忍不住…,這家拉麵店的湯頭濃郁鮮甜，每次來都忍不住加麵
4.6038404,-2.0527647,Cluster 1,週末自己做提拉米蘇，奶油乳酪搭咖啡酒真的…,週末自己做提拉米蘇，奶油乳酪搭咖啡酒真的絕了
4.7275147,-2.8442152,Cluster 2,台南的牛肉湯清晨五點就開門，新鮮溫體牛肉…,台南的牛肉湯清晨五點就開門，新鮮溫體牛肉超值得
5.1632133,-3.720934,Cluster 2,氣炸鍋料理真的太方便，雞翅外酥內嫩完全不…,氣炸鍋料理真的太方便，雞翅外酥內嫩完全不油膩
4.32368,-3.1873553,Cluster 2,韓式炸雞配啤酒是週五晚上的標配，今天又點…,韓式炸雞配啤酒是週五晚上的標配，今天又點了一份
6.023945,-3.1187925,Cluster 2,第一次嘗試自製壽司，醋飯比例抓對之後真的…,第一次嘗試自製壽司，醋飯比例抓對之後真的很好吃
4.8587646,-3.381276,Cluster 2,早午餐推薦這間，班尼迪克蛋的荷蘭醬做得非…,早午餐推薦這間，班尼迪克蛋的荷蘭醬做得非常細緻
5.745575,-3.4947443,Cluster 2,泰式酸辣湯底加了椰奶之後層次豐富，辣度剛…,泰式酸辣湯底加了椰奶之後層次豐富，辣度剛剛好
3.424554,2.1028702,Cluster 3,新款無線耳機降噪效果驚人，通勤時完全隔絕…,新款無線耳機降噪效果驚人，通勤時完全隔絕外界雜音
4.9384174,1.981744,Cluster 3,用 AI 工具自動整理會議記錄，效率提升…,用 AI 工具自動整理會議記錄，效率提升三倍不誇張
3.0735419,0.44122466,Cluster 0,智慧手錶的睡眠追蹤功能讓我發現自己深睡時…,智慧手錶的睡眠追蹤功能讓我發現自己深睡時間嚴重不足
3.7160397,-0.4810606,Cluster 1,顯示卡價格終於回穩，這個月入手 4K 遊…,顯示卡價格終於回穩，這個月入手 4K 遊戲終於不卡頓
4.4706545,2.3538408,Cluster 3,雲端硬碟自動同步照片，換手機完全不需要手…,雲端硬碟自動同步照片，換手機完全不需要手動備份
4.843068,1.517804,Cluster 3,機械鍵盤打字回饋感太好了，工作效率都跟著…,機械鍵盤打字回饋感太好了，工作效率都跟著提升
3.8694367,1.8962547,Cluster 3,電動車充電樁越來越普及，長途旅行的里程焦…,電動車充電樁越來越普及，長途旅行的里程焦慮少了很多
1.2190518,0.06899338,Cluster 1,京都嵐山的竹林早晨人少，光線穿透竹葉的感…,京都嵐山的竹林早晨人少，光線穿透竹葉的感覺太美了
3.4991183,-1.0657333,Cluster 0,冰島追極光三天終於成功，那片綠色光幕一輩…,冰島追極光三天終於成功，那片綠色光幕一輩子難忘
0.92937016,0.5582407,Cluster 1,花蓮太魯閣步道健行，立霧溪的水色藍到不像…,花蓮太魯閣步道健行，立霧溪的水色藍到不像真實存在
3.3776999,2.6667237,Cluster 3,一個人背包旅行葡萄牙，里斯本的電車和石板…,一個人背包旅行葡萄牙，里斯本的電車和石板路超迷人
0.99250954,1.2586764,Cluster 0,沖繩浮潛看到熱帶魚群，海水清澈到五公尺深…,沖繩浮潛看到熱帶魚群，海水清澈到五公尺深都看得見
2.64426,-0.77711755,Cluster 1,阿里山日出雲海沒有讓人失望，但凌晨三點起…,阿里山日出雲海沒有讓人失望，但凌晨三點起床真的冷
5.6763883,-2.320771,Cluster 1,首爾弘大周邊街頭小吃太多選擇，一天根本吃…,首爾弘大周邊街頭小吃太多選擇，一天根本吃不完
2.1108885,2.080948,Cluster 0,這部科幻片的視覺特效讓人窒息，IMAX …,這部科幻片的視覺特效讓人窒息，IMAX 版本完全值回票價
2.1114295,0.60532033,Cluster 0,重看千與千尋才發現裡面有好多細節小時候完…,重看千與千尋才發現裡面有好多細節小時候完全沒注意到
3.15768,0.03287309,Cluster 1,新出的推理劇每集結尾都在反轉，害我追到凌…,新出的推理劇每集結尾都在反轉，害我追到凌晨兩點
2.5715694,2.450988,Cluster 3,現場演唱會的震撼感是串流平台永遠無法替代…,現場演唱會的震撼感是串流平台永遠無法替代的體驗
2.2225573,1.241016,Cluster 0,這本小說的世界觀設定太複雜，看了第三遍才…,這本小說的世界觀設定太複雜，看了第三遍才搞清楚脈絡
2.5460784,1.5645974,Cluster 0,獨立遊戲的劇情設計有時候比 3A 大作更…,獨立遊戲的劇情設計有時候比 3A 大作更打動人心
3.714432,1.0438468,Cluster 3,podcast 通勤收聽習慣養成之後，感…,podcast 通勤收聽習慣養成之後，感覺每天都多了一小時
1.4631255,1.7708747,Cluster 0,這部紀錄片拍攝深海生物，畫面美到讓人忘記…,這部紀錄片拍攝深海生物，畫面美到讓人忘記在看科學節目
